cusip	cusipname
00030710	AAC HLDGS INC
00030790	AAC HLDGS INC
00030795	AAC HLDGS INC COM
00036020	AAON INC
00036090	AAON INC
00036095	AAON INC
00036110	AAR CORP
00036190	AAR CORP
00036195	AAR CORP
000361AF	AAR CORP
000361AH	AAR CORP
000361AK	AAR CORP
000361AL	AAR CORP
000361AM	AAR CORP
000361AR	AAR CORP
00037520	ABB LTD
00037590	ABB LTD
00037595	ABB LTD
00040010	ABC BANCORP COM
00079FBA	ABN AMRO BK N V LONDON BRH DEBT 14.000% 3/1
00079FBF	ABN AMRO BK N V LONDON BRH DEBT 10.000% 4/2
00079FBN	ABN AMRO BK N V LONDON BRH DEBT 11.750% 8/1
00079FBW	ABN AMRO BK N V LONDON BRH DEBT 10.000% 9/2
00079FBY	ABN AMRO BK N V LONDON BRH DEBT 11.000%10/0
00079FBZ	ABN AMRO BK N V LONDON BRH DEBT 11.000%10/0
00079FCA	ABN AMRO BK N V LONDON BRH DEBT 11.000%10/1
00079FCB	ABN AMRO BK N V LONDON BRH MTNF 10.000%10/2
00079FCC	ABN AMRO BK N V LONDON BRH DEBT 12.000%10/2
00079FCF	ABN AMRO BK N V LONDON BRH DEBT 10.000%11/1
00079FCG	ABN AMRO BK N V LONDON BRH DEBT 9.250%11/0
00079FCJ	ABN AMRO BK N V LONDON BRH DEBT 10.000%11/2
00079FCK	ABN AMRO BK N V LONDON BRH DEBT 12.000%12/1
00079FCM	ABN AMRO BK N V LONDON BRH DEBT 10.000%12/2
00079FCN	ABN AMRO BK N V LONDON BRH DEBT 10.250%12/3
00079FCP	ABN AMRO BK N V LONDON BRH DEBT 10.250% 1/2
00079FCQ	ABN AMRO BK N V LONDON BRH DEBT 10.000% 1/2
00079FCR	ABN AMRO BK N V LONDON BRH DEBT 10.250% 2/0
00079FCS	ABN AMRO BK N V LONDON BRH DEBT 12.000% 2/0
00079FCT	ABN AMRO BK N V LONDON BRH DEBT 10.000% 1/2
00079FCU	ABN AMRO BK N V LONDON BRH DEBT 10.000% 2/1
00079FCV	ABN AMRO BK N V LONDON BRH DEBT 13.000% 2/1
00079FCW	ABN AMRO BK N V LONDON BRH DEBT 11.000% 3/0
00079FCX	ABN AMRO BK N V LONDON BRH DEBT 14.000% 3/0
00079FCZ	ABN AMRO BK N V LONDON BRH DEBT 10.000% 3/1
00079FDA	ABN AMRO BK N V LONDON BRH DEBT 11.000% 3/1
00079FDC	ABN AMRO BK N V LONDON BRH DEBT 14.500% 3/3
00079FDD	ABN AMRO BK N V LONDON BRH DEBT 10.250% 3/3
00079FDG	ABN AMRO BK N V LONDON BRH DEBT 11.500% 4/1
00079FDH	ABN AMRO BK N V LONDON BRH DEBT 9.125% 4/1
00079FDL	ABN AMRO BK N V LONDON BRH DEBT 9.000% 4/2
00079FDM	ABN AMRO BK N V LONDON BRH DEBT 12.000% 4/2
00079FDQ	ABN AMRO BK N V LONDON BRH DEBT 9.000% 5/1
00079FDR	ABN AMRO BK N V LONDON BRH DEBT 10.000% 5/1
00079FDS	ABN AMRO BK N V LONDON BRH DEBT 14.000% 5/1
00079FDV	ABN AMRO BK N V LONDON BRH DEBT 9.000% 5/2
00079FDW	ABN AMRO BK N V LONDON BRH DEBT 9.000% 5/2
00079FDX	ABN AMRO BK N V LONDON BRH DEBT 14.000% 5/2
00079FDY	ABN AMRO BK N V LONDON BRH DEBT 7.000% 6/0
00079FDZ	ABN AMRO BK N V LONDON BRH DEBT 14.250% 6/0
00079FEA	ABN AMRO BK N V LONDON BRH DEBT 10.500% 6/2
00079FEE	ABN AMRO BK N V LONDON BRH DEBT 8.000% 7/0
00079FEF	ABN AMRO BK N V LONDON BRH DEBT 11.000% 7/0
00079FEV	ABN AMRO BK N V LONDON BRH DEBT 10.000% 8/0
00079FEY	ABN AMRO BK N V LONDON BRH DEBT 9.000% 5/2
00079FEZ	ABN AMRO BK N V LONDON BRH DEBT 9.000% 5/2
00079FFD	ABN AMRO BK N V LONDON BRH DEBT 10.000% 6/0
00079FFE	ABN AMRO BK N V LONDON BRH DEBT 9.000% 6/0
00079FFF	ABN AMRO BK N V LONDON BRH DEBT 10.250% 9/1
00079FFG	ABN AMRO BK N V LONDON BRH DEBT 12.250% 9/1
